participant,location,recent_text,new_letter,iki
71,before word,"rach is conducted, it seems to negatively",a,737
71,within word,gatively affect their outcome when they a,r,104
71,before sentence,ffect their outcome when they are adults.,i,530
71,within word,"e authors or researchers money, it will a",l,112
71,before word,rents to understand how their actions can,a,209
71,before word,heir actions can affect their children in,a,240
71,before sentence,s can affect their children in adulthood.,i,2289
71,before word,an affect their children in adulthood. In,t,144
71,within word, children in adulthood. In the end resear,c,249
71,before word,hildren in adulthood. In the end research,c,264
71,within word,Over,a,174
71,before word,onducted for the sake of learning instead,o,130
71,before word,the sake of learning instead of greed and,p,576
71,before sentence,ad of greed and potential monetary value.,t,1056
71,before word,ntial monetary value. This will allow for,m,193
71,before word, monetary value. This will allow for more,c,185
71,before word, value. This will allow for more creative,r,256
71,within word,for more creative research to be conducte,d,188
71,within word,rch to be conducted and will expand our k,n,64
71,before sentence,ucted and will expand our knowledge base.,w,1704
71,within word,ted and will expand our knowledge base. W,i,1185
71,within word,. If research was soley conducted for mon,i,280
71,within word,earch was soley conducted for monetary va,u,424
71,before word,"h was soley conducted for monetary vaule,",t,153
71,before word,"onducted for monetary vaule, there likely",w,105
71,within word,ikely would be less of it and only experi,m,256
71,within word,d be less of it and only experiments know,n,111
71,before sentence, known to work would continue to be done.,t,3137
71,within word,to discoveries that would be impossible w,i,167
137,within word,Climate Cha,n,127
137,before word,Climate Change has been in the,n,145
137,within word,"ernet, and yet still today we haven't see",n,131
137,within word,Instea,d,88
137,within word,Instead o,f,94
137,before sentence,ly switch to all green sources of energy.,t,3423
137,before sentence,ly switch to all green sources of energy.,t,255
137,before word,why I believe that slowly introducing and,c,1880
137,before word,why I believe that slowly introducing and,w,136
137,within word,elieve that slowly introducing and workin,g,72
137,within word,ng on creating new green technologies sho,u,96
137,within word,g on creating new green technologies shou,l,168
137,before sentence, our efforts to avert the climate crisis.,t,1238
137,within word,ur efforts to avert the climate crisis. T,h,471
137,within word,een sources of energy. That is why I agre,e,121
137,before word,ch is best is due to our current economic,s,359
137,before sentence,st is due to our current economic system.,c,1321
137,within word,ur current economic system. Companies spe,n,127
137,before word, current economic system. Companies spend,a,207
137,before word,economic system. Companies spend a lot of,m,201
137,before word,f money lobbying for fossil fuels because,t,614
137,before sentence,ossil fuels because they make them money.,i,280
137,within word,at is not only green but better than foss,i,142
137,within word,"but better than fossil fuels, companies w",o,71
137,within word,"l fuels, companies would ditch gas and oi",l,283
137,before sentence,ld ditch gas and oil as fast as possible.,c,399
137,before word, possible. Currently we have technologies,b,519
137,within word,ssible. Currently we have technologies be,i,145
137,before sentence, our efforts to avert the climate crisis.,h,399
137,before sentence, our efforts to avert the climate crisis.,h,502
137,before word,ert the climate crisis. However I believe,i,233
137,within word,ut back on usage even if it isn't up to w,h,440
137,before word, usage even if it isn't up to what can be,h,769
137,before word,ge even if it isn't up to what can be had,w,145
137,before word,proach to averting climate change is that,c,1351
137,within word,climate change is that current energies m,a,96
137,before sentence, that current energies may not be enough.,w,320
137,within word,t current energies may not be enough. Whi,l,187
137,within word," advancements in many areas, like in elec",t,223
137,before word,"n electric cars, the industry and systems",i,232
137,before word,"c cars, the industry and systems in place",c,708
137,before sentence,ms in place still majorly favor gas cars.,e,431
137,within word,ace still majorly favor gas cars. Electri,c,199
137,within word, majorly favor gas cars. Electric cars ne,e,154
137,within word,. Electric cars need to be able to show t,h,130
137,before word,ars need to be able to show that they are,c,653
137,before sentence,y superior in order to be widely adopted.,t,498
137,before word,o be widely adopted. The public would not,b,177
137,before word, adopted. The public would not be willing,t,928
137,before sentence,lower quality of life for climate change.,i,417
137,before sentence, people can't afford time to act towards.,w,670
137,within word,act towards. Another example would be sol,a,64
137,before sentence,s. Another example would be solar panels.,t,1634
137,before sentence,s. Another example would be solar panels.,t,256
137,within word,ld be solar panels. Trends show them beco,m,71
137,before word,e solar panels. Trends show them becoming,i,449
137,before word,m becoming increasingly popular and while,s,128
137,within word,ar and while many people have adopted the,m,105
137,within word,"y people have adopted them, they still ha",v,145
137,within word,ire maintence and cleaning to make most u,s,110
137,before sentence,intence and cleaning to make most use of.,s,352
137,within word,ce and cleaning to make most use of. Sola,r,119
137,before word,e and cleaning to make most use of. Solar,p,145
137,before word,lar panels also are not an assured return,o,226
137,before sentence, are not an assured return on investment.,t,291
137,before word,tment. They can get pricey and the energy,y,1964
137,before word,y and the energy they produce can vary as,s,531
137,before word, as some places or homes don't get enough,d,352
137,before sentence,r homes don't get enough direct sunlight.,a,774
137,within word,make green energy superior for the user w,o,120
137,before word, green energy superior for the user would,s,362
137,within word,ould surely make them more popular and th,e,128
137,within word,ake them more popular and therefore reduc,e,206
137,within word,"Lastly, the",r,95
137,before word,"Lastly, there are some things I",d,226
137,before sentence, things I disagree on with this approach.,w,1113
137,before sentence, things I disagree on with this approach.,a,288
137,before word,"th this approach. As I previously stated,",i,465
137,before word," this approach. As I previously stated, I",o,435
137,before word,"usly stated, While I do agree and believe",t,1624
137,within word,"y stated, While I do agree and believe th",a,62
137,within word,to producing superior green energy source,s,167
137,within word,ducing superior green energy sources woul,d,106
137,within word,ing superior green energy sources would c,e,192
137,within word,superior green energy sources would certa,i,118
137,before word,rior green energy sources would certainly,e,1809
137,before sentence,on of these technologies is no guarantee.,c,528
137,within word,of these technologies is no guarantee. Cl,i,217
137,within word,ntee. Climate change won't stop just beca,u,138
137,before word,e. Climate change won't stop just because,f,1146
137,within word,mate change won't stop just because fusio,n,234
137,within word,e change won't stop just because fusion t,e,150
137,before word,won't stop just because fusion technology,n,233
137,before sentence,on technology needs 10+ years to develop.,t,375
137,before word, develop. This is why I think that effort,s,425
137,within word,t into maintaining and replacing fossil f,u,121
137,within word,aining and replacing fossil fuel usage wi,t,117
137,before word,ning and replacing fossil fuel usage with,n,3623
137,within word,l fuel usage with Nuclear Fission reactor,s,216
137,before sentence,fuel usage with Nuclear Fission reactors.,s,1862
137,before word,ar Fission reactors. Since accidents like,t,1240
137,within word,dents like three mile island and Chernoby,l,211
137,before word,"nts like three mile island and Chernobyl,",n,4569
137,before sentence,hnology gets a bad rap in the public eye.,h,1262
137,before word,ye. However it is one of the best ways in,w,130
137,before sentence,"fuels, specifically coal and natural gas.",t,248
137,before word,"machinery would be harder to develop, but",w,717
137,within word,"ery would be harder to develop, but we ca",n,128
137,before word,onal machinery would be harder to develop,g,184
137,before word,e efforts to power our electric grid with,a,179
137,before word,r electric grid with already existing and,s,336
137,before sentence,existing and established nuclear science.,a,496
137,before word,d established nuclear science. Apart from,s,378
137,before word,"eas like jobs for coal miners, the impact",o,137
137,before word,", the impact on the public would be a lot",s,154
137,before word,on the public would be a lot smaller than,f,289
137,before word,er than if we were to outlaw all gas cars,o,183
137,within word,In concl,u,168
137,within word,logies should be the large focus of our e,f,135
137,within word,s should be the large focus of our effort,s,270
137,before word,bts about the time schedule it would take,t,191
137,before sentence,nds better than the current technologies.,i,423
137,before word,eplacing the worst polluting technologies,a,224
137,within word,lluting technologies as well as developin,g,73
137,before word,"g alternatives, as change needs to happen",s,381
137,before word,change needs to happen sooner rather than,l,274
137,within word,nge needs to happen sooner rather than la,t,184
135,before word,Science is a highly used resource that,s,409
135,before word,nce is a highly used resource that should,b,202
135,before word,should be taken into serious considertion,f,95
135,within word,taken into serious considertion for almos,t,115
135,within word,hing we have knowledge about or care to h,a,70
135,before sentence,ge about or care to have knowledge about.,t,5238
135,before word,ience should try to aim to discover these,u,407
135,before word,ould try to aim to discover these unkowns,a,127
135,before word,cience we would not know things about the,w,135
135,within word,e we would not know things about the worl,d,131
135,before sentence,nnovate and make our world more advanced.,o,9058
135,within word,nd make our world more advanced. One of t,h,94
135,before word,he more obvious discoveries that comes to,m,343
135,within word,ries that comes to mind when thinking abo,u,128
135,within word,ies that comes to mind when thinking abou,t,145
135,before word, mind when thinking about discovering the,t,250
135,before word,hinking about discovering the truth about,t,88
135,before word,ing about discovering the truth about the,w,2174
135,before word,e scientific discovery and knowledge that,t,176
135,within word,scovery and knowledge that the world is r,o,119
135,before sentence,ry and knowledge that the world is round.,w,3823
135,before word,d is round. If we would not have took the,t,213
135,within word,is round. If we would not have took the t,i,124
135,within word, round. If we would not have took the tim,e,118
135,before word,ould not have took the time and resources,t,161
135,before word,e took the time and resources to discover,t,120
135,within word,we would be living in a very different wo,r,137
135,before sentence,ould be living in a very different world.,t,2778
135,within word,ent world. This would lead to people thin,k,116
135,before word, we may have discovered everything we can,f,105
135,before sentence,y have discovered everything we can find.,w,1152
135,before word,ything we can find. While there may still,b,511
135,before word,ing we can find. While there may still be,p,398
135,within word,may still be places out there that we hav,e,232
135,before word,n't discovered we still have used science,t,145
135,before word, discovered we still have used science to,p,375
135,before word,Science,h,200
135,before word,en able to discover things that have been,a,103
135,before word,have been able to unlock many more things,w,158
135,before word,en able to unlock many more things within,o,216
135,before sentence,unlock many more things within our world.,d,271
135,within word,scoveries people have been able to innova,t,254
135,within word,nnovate based on those discoveries in ord,e,215
135,before sentence,in order to improve the world we live in.,b,11721
135,before word,ive in. Being more knowledgible on things,a,488
135,within word,d can lead to knowing how to solve more i,s,104
135,within word, world can lead to knowing how to solve t,h,153
135,before word,knowing how to solve the issues our world,e,182
135,within word,w to solve the issues our world endures i,n,127
135,within word,olve the issues our world endures in orde,r,122
135,within word,e the issues our world endures in order t,o,80
135,within word,orld endures in order to improve our stat,u,195
135,within word,dures in order to improve our status of l,i,144
135,before sentence,in order to improve our status of living.,t,25904
135,within word,status of living. If we simply did not st,u,182
135,within word,s of living. If we simply did not study t,h,114
135,before word,ply did not study the sciences behind the,t,145
135,before word, happening or why/how these things happen,t,151
135,before word,r why/how these things happen there would,b,170
135,within word,to the development of the world we live i,n,162
135,before sentence, the development of the world we live in.,o,3976
135,within word,nt of the world we live in. Every inventi,o,168
135,before word, of the world we live in. Every invention,h,191
135,before word,the world we live in. Every invention has,b,199
135,before word,ion has been based on science and what we,k,423
135,before word, science and what we know about the world,a,114
135,before word,we know about the world and how things in,t,139
135,before sentence, world and how things in this world work.,t,25809
135,before word,but I don't believe the science has to be,r,384
135,before word,lated around improving wealth or anything,r,1953
135,before sentence,lth or anything related to wealth at all.,t,696
135,within word,d to wealth at all. These things may impr,o,98
135,within word,prove wealth but they also improve our wa,y,167
135,before sentence, but they also improve our way of living.,t,2733
135,before word,Science should be solely focused on,f,5490
135,before word,e should be solely focused on finding the,s,384
135,within word,olely focused on finding the secrets of t,h,70
135,before word,ely focused on finding the secrets of the,w,135
135,within word,he secrets of the world with no concern t,o,112
135,within word,ld with no concern to practical aplicatio,n,223
135,within word,ld with no concern to practical applicati,o,128
135,before sentence,practical application or wealth creation.,f,5369
135,before sentence,practical application or wealth creation.,f,672
135,within word,al application or wealth creation. Findin,g,122
135,before word, or wealth creation. Finding the truth of,o,296
135,within word,h creation. Finding the truth of our worl,d,216
135,before sentence,h of our world can help us in the future.,k,287
135,within word, our world can help us in the future. Kno,w,86
135,within word,ld can help us in the future. Knowing wha,t,158
135,before word,d can help us in the future. Knowing what,i,201
135,within word,future. Knowing what is out there and wha,t,224
135,within word,wing what is out there and what affects o,u,137
135,within word,at affects our world can help our lives i,n,200
135,within word,ives in many more ways than just practica,l,175
135,before sentence,practical application or wealth creation.,j,1022
135,before word,eation. Just having the knowledge of what,s,136
135,before sentence,e of what surrounds us should be a known.,t,417
135,before word,what surrounds us should be a known. This,c,123
135,within word,at surrounds us should be a known. This c,a,186
135,within word,at surrounds us should be a known. This s,c,192
135,within word,us should be a known. This scientific kno,w,186
135,before word,. This scientific knowledge could lead to,a,271
135,within word,ople understanding and being in unison ab,o,102
135,within word,ding and being in unison about what the f,a,154
135,within word,in unison about what the facts of our wor,l,378
135,before sentence,on about what the facts of our world are.,i,199
135,before word,he facts of our world are. I would rather,l,504
135,within word, I would rather live knowing the facts ra,t,217
135,within word,ther live knowing the facts rather than j,u,191
135,before word,ts rather than just assuming things about,t,177
135,before word,suming things about the world that I live,i,288
135,before sentence,ns and thruth about the world we live in.,t,2772
135,before word, the world we live in. Aiming to discover,t,88
135,before word,ming to discover the truth can lead to an,a,183
135,within word,"truth can lead to an advanced world, glob",a,200
135,within word,"world, global understanding and unison, a",s,198
135,within word,", global understanding and unison, as wel",l,160
135,before word,he truth can lead to an advanced world as,w,154
135,before word,uth can lead to an advanced world as well,a,172
126,within word,im that science should aim to discover tr,u,95
126,before word,"ruth about the world, without concern for",p,145
126,before word,hout concern for practical application or,e,120
126,within word,ut concern for practical application or w,e,113
126,within word, for practical application or wealth crea,t,98
126,before word,I am,n,169
126,before word,I would,n,105
126,before sentence,I would not consider myself a scientist.,i,199
126,before sentence,ng over spending extensive time in a lab.,i,145
126,within word,ending extensive time in a lab. I even wo,u,120
126,before sentence,ng over spending extensive time in a lab.,t,191
126,before word,er spending extensive time in a lab. That,t,87
126,before word,ending extensive time in a lab. That type,o,64
126,within word,ensive time in a lab. That type of critic,a,94
126,before word, a lab. That type of critical thinking is,n,472
126,before word,"cal thinking is not my area of expertise,",n,103
126,before word,"nking is not my area of expertise, nor my",p,1128
126,before sentence," expertise, nor my peak area of interest.",h,8784
126,before word,"peak area of interest. Because of this, I",a,136
126,before word,"ause of this, I agree that science should",a,64
126,within word,I agree that a main focus of science shou,l,110
126,before word,us of science should be to discover truth,a,210
126,within word,f science should be to discover truth abo,u,113
126,before sentence,uld be to discover truth about the world.,b,9600
126,before sentence," expertise, nor my peak area of interest.",i,2306
126,within word,eak area of interest. I don't have any sp,e,303
126,before word,erest. I don't have any specific areas of,s,123
126,before word,hat I can talk about for longer than five,m,146
126,before word,"than five minutes, even if someone who is",i,138
126,within word,n those things is the other conversationa,l,77
126,before word,"However, all of that being",s,97
126,before sentence,d also disagree with the above statement.,s,698
126,before word,tement. Science not only allows for truth,t,109
126,within word,"be found in various areas of life, but on",c,95
126,before word,"ious areas of life, but once the truth is",f,154
126,before sentence,uld be to discover truth about the world.,t,25690
126,before word,rld. There are so many unknowns about the,w,113
126,before word,"wns about the world in which we live, and",e,112
126,before sentence,d even more theories about said unknowns.,f,233
126,before word,ountless theories about how the earth was,c,318
126,before sentence,theories about how the earth was created.,i,144
126,before word,"ve my own foundations for my beliefs, and",t,145
126,before sentence, based on their own personal convictions.,i,287
126,before word,rsonal convictions. I believe that I have,p,112
126,before word,therefore I believe in one particular way,t,94
126,before sentence,articular way that the earth was created.,b,168
126,within word," the earth was created. But, scientists a",l,114
126,before word,"reated. But, scientists also believe that",t,79
126,before sentence, for various methods of earth's creation.,f,1688
126,within word,or various methods of earth's creation. F,u,226
126,before sentence, not yet visited the bottom of the ocean.,w,447
126,within word,et visited the bottom of the ocean. We ha,v,129
126,before sentence,or explored the majority of its vastness.,f,27854
126,within word, Finding truth about what lies in the dea,p,145
126,within word,n would be a massive accomplishment for a,l,161
126,before word," accomplishment for all of mankind, and I",b,376
126,within word,"omplishment for all of mankind, and I bel",i,55
126,within word,"r all of mankind, and I believe that find",i,166
126,before sentence,ng such information should be a priority.,i,175
126,within word,the depths of the ocean should be done fo,r,114
126,within word,"done for wealth gain, and I don't think t",h,90
126,within word,"n, and I don't think that at first it sho",u,119
126,before sentence,should be done for practical application.,t,550
126,within word,practical application. There can be pract,i,52
126,within word,"cations later, but first and foremost sho",u,112
126,before word,remost should be the discover of truth in,w,153
126,before sentence," is found, it can be practically applied.",f,11160
126,before word,"e practically applied. For example, there",a,138
126,within word,"lly applied. For example, there are hundr",e,88
126,before word,entists across the globe searching for he,c,169
126,within word,sts across the globe searching for the cu,r,104
126,within word,across the globe searching for the cure f,o,86
126,before sentence, globe searching for the cure for cancer.,i,439
126,within word,ot for me to determine whether they're so,l,186
126,before sentence,'re solely doing this for financial gain.,i,135
126,within word,re solely doing this for financial gain--,i,648
126,within word, this for financial gain--I'd hope that h,e,186
126,within word, for financial gain--I'd hope that they a,r,144
126,before sentence,inancial gain--I'd hope that they aren't!,h,1160
126,within word,"ope that they aren't! However, I'm not na",i,150
126,within word,ourse it is known that whoever comes up w,i,70
126,before sentence,l become wealthier than they were before.,i,368
126,within word,than they were before. Innovations in sci,e,159
126,before word,before. Innovations in science often come,w,103
126,before sentence,"th a reward, often in the monetary sense.",t,5274
126,before sentence,That is beside the point.,i,12256
126,within word,hat is beside the point. If scientists we,r,129
126,before word,ide the point. If scientists were to find,t,114
126,within word,uld be selfish and unwise to do nothing w,i,72
126,before sentence,selfish and unwise to do nothing with it.,s,277
126,before sentence,d cause an absolute uproar among society.,s,14561
126,before word,"use an absolute uproar among society. So,",o,92
126,before word,"n absolute uproar among society. So, once",t,105
126,before word,"solute uproar among society. So, once the",t,104
126,within word,"In these terms, it might make se",n,240
126,before word,"these terms, it might make sense to argue",t,72
126,within word,ould be aiming to discover new things wit,h,111
126,before word,be aiming to discover new things with the,m,119
126,before word,"So, once the truth is found, it should be",t,385
126,within word,"uth is found, it should be the foremost a",c,137
126,before word,d be the foremost action that it would be,a,96
126,within word,ould be applied to finding a practical ap,p,126
126,within word,t would hopefully benefit that live sof t,e,120
126,before sentence,practical application or wealth creation.,w,244
126,before word, argued that finding the truth about thee,w,232
126,within word," the foremost need, and it could be aruge",d,199
126,before word,"oremost need, and it could be argued that",p,1281
126,within word,"need, and it could be argued that practic",a,80
126,before word,rgued that practically applying the truth,f,213
126,before sentence," you love and the money will come later.""",t,210
126,before word,"he money will come later."" This is a case",i,115
126,before sentence,e in which that statement is troublesome.,i,280
126,before word, truly loves and lives for being in a lab,a,79
126,before word,"rticipating in research, then they should",i,1440
126,before sentence,n they should indeed make that their job.,n,2960
126,before sentence,st for the monetary reward that may come.,i,911
126,within word,"come. So, while a scientist should love w",h,95
126,before sentence,ey should never be the primary motivator.,i,1641
126,within word, never be the primary motivator. If a per,n,216
126,within word,be the primary motivator. If a person wer,e,101
126,before word,edical school just because of the massive,s,128
126,before word,ool just because of the massive salary of,a,98
126,before sentence,in their field because they lack passion.,a,695
126,before word,ause they lack passion. All of that being,s,592
126,within word,at being said is to come to the conclusio,n,130
126,within word,"never be solely driven by money, but shou",l,113
126,before sentence,"truth, and the desire to apply the truth.",f,78
126,before sentence,"truth, and the desire to apply the truth.",f,303
126,before word,I would argue that both discovering truth,a,72
126,within word, that both discovering truth and practica,l,144
126,within word,"ould be driving forces of science, and de",p,199
126,before word,", either could be more important than the",o,89
126,before sentence,r could be more important than the other.,b,393
126,before sentence,r could be more important than the other.,b,272
126,within word,"he other. But, either way, money should n",e,80
126,before sentence,ld never be the driving force of science.,f,207
126,within word,"ns, I both agree and disagree with the st",a,130
126,before word,that science should aim to discover truth,a,86
133,before word,m that science should aim to discover the,t,419
133,before word, science should aim to discover the truth,a,191
133,within word,e truth about the world without any conce,r,191
133,before sentence, pratical application or wealth creation.,o,3642
133,within word, application or wealth creation. One of t,h,112
133,within word,e reasons that I do not agree with that s,t,929
133,within word,t statement is because we need science ex,p,191
133,within word,tatement is because we need science exper,i,128
133,before sentence,ost of the things we do on a daily basis.,n,399
133,before sentence,ost of the things we do on a daily basis.,a,752
133,before word, do on a daily basis. Another reason I do,n,321
133,before word,support that claim is because science for,t,193
133,before word,laim is because science for the most part,i,368
133,before word,cience for the most part is observational,a,164
133,before word, observations many claims can't be backed,u,418
133,before sentence, claims can't be supported with evidence.,t,342
133,within word,can't be supported with evidence. The fin,a,113
133,before word,The,f,349
133,before word,The first reason I,d,143
133,within word,The first reason I do n,o,167
133,before word,should discover the truth about the world,w,536
133,within word,concern for practical application or weal,t,111
133,within word,cal application or wealth creation is bec,u,128
133,before word,tion or wealth creation is becuase we use,d,1417
133,within word,creation is becuase we use science on a d,a,137
133,before sentence, becuase we use science on a daily basis.,t,1695
133,before word,ly basis. To explain my reasoning further,w,1127
133,before word,e science every single day to explain how,a,182
133,before sentence,plain how and why we do practical things.,m,1301
133,before word,t experiments are geared towards figuring,o,370
133,before word,periments are geared towards figuring otu,h,265
133,before word,red towards figuring out how or why we do,t,127
133,before sentence,ow or why we do activities the way we do.,f,406
133,within word,something we need to survive we use scien,c,119
133,within word,nce to know what temperature to heat some,t,216
133,before word,e to know what temperature to heat a dish,u,191
133,before sentence, to heat a dish up at so its safe to eat.,i,1266
133,before sentence,ingredients to have the perfect reaction.,i,457
133,within word,s to have the perfect reaction. If we can,c,167
133,within word,ncern for practical application in experi,e,184
133,before word,lication in experiments we would lose out,o,226
133,before word,n experiments we would lose out on future,k,378
133,within word,The second rea,s,992
133,within word,bout the world without concern for practi,c,200
133,before word,"h creation is because of how many experi,",e,95
133,before sentence, claims can't be supported with evidence.,o,552
133,within word,the statement is because sometimes that h,a,104
133,within word,because sometimes that has to be neccessa,r,255
133,before word,se sometimes that has to be neccessary in,o,200
133,within word,metimes that has to be neccessary in orde,r,144
133,before word, order for an experiment to be successful,a,211
133,before sentence,f how many experiments are observational.,o,22249
133,within word,eriments involve some type of observation,a,110
133,within word,"servational properties, but some are sole",y,231
133,within word," properties, but some are primarly oberva",t,302
133,before sentence,"ties, but some are primarly obervational.",c,7479
133,within word,r example use a lot of observation of ind,i,106
133,before word,se a lot of observation of individuals to,c,176
133,within word, a lot of observation of individuals to t,r,271
133,before word, observation of individuals to test their,h,618
133,within word,ervation of individuals to test their hyp,o,112
133,before sentence, of individuals to test their hypothesis.,t,1800
133,before word,o test their hypothesis. These behavioral,s,400
133,within word,oral studies are also very important to t,h,119
133,before word,ow many experiments are observational and,h,870
133,within word,experiments are observational and how the,y,86
133,before sentence,h each other and perform our daily tasks.,t,5190
133,within word,each other and perform our daily tasks. T,h,186
133,before word,r daily tasks. These experiments can help,u,305
133,before word,nstructed the social theories we have and,h,513
133,within word,ories we have and how we can shape the fu,t,184
133,before word,Even,t,169
133,within word,Even though I do not fully belie,v,207
133,before word,Even though I do not fully believe we,s,203
133,before word,elieve we should discover the truth about,t,79
133,within word,d discover the truth about the world with,o,192
133,within word,h about the world without conver for prac,t,239
133,before word,practical application and wealth creation,t,201
133,before word,cal application and wealth creation there,i,202
133,before word,part of me that agrees with the statement,t,265
133,before sentence,s with the statement to a certain extent.,w,4710
133,within word,ent. Without discoveries that disregard p,r,354
133,before word,ries that disregard practical application,a,95
133,before word, that disregard practical application and,w,152
133,before word,lication and wealth we probably would not,b,167
133,before sentence,ormed about certain topics as we are now.,i,1913
133,within word,tain topics as we are now. I do believe t,h,104
133,before word,opics as we are now. I do believe that we,s,194
133,within word," are discovering new things, but it doesn",t,114
133,within word,"ering new things, but it doesn't always n",e,184
133,before word,"ngs, but it doesn't always need to be the",k,568
133,before word,ed to be the key focus and sometimes it's,e,288
133,before word,In conclusion I do,n,200
133,within word,clusion I disagree with the statement tha,t,224
133,within word, should discover the truth about the worl,d,185
133,within word,r the truth about the world without conce,r,275
133,before sentence,on and wealth creation for the most part.,t,2279
133,within word,h creation for the most part. The main re,a,656
133,before word,nd wealth creation for the most part. The,f,232
133,before word, much in our daily lives that it would be,i,352
133,within word,ould be impractical to have discoveries t,h,95
133,before word,ctical to have discoveries that disregard,p,2231
133,within word, discoveries that disregard practical app,l,186
133,before word,ies that disregard practical applicationa,d,81
133,before sentence,ractical application and wealth creation.,t,680
133,within word,application and wealth creation. The seco,n,199
133,before word,pplication and wealth creation. The final,r,416
133,before word,reation. The final reason I disagree with,t,1482
133,before word,on. The final reason I disagree with that,s,270
133,within word,on I disagree with that statement is beca,u,88
133,within word, discoveries that use observation and pra,c,247
133,within word,coveries that use observation and practic,a,161
133,before sentence, much knowledge and depth to our society.,t,672
133,before sentence, much knowledge and depth to our society.,f,307
133,within word,ledge and depth to our society. Finally t,h,70
133,before word,on I agree with the statment to a certain,d,160
133,within word,tain degree is because sometimes we can m,a,155
133,within word,ause sometimes we can make a discovery th,a,129
133,before word, practical applications as the sole focus,t,288
